Date,Description,Catagory,Cash In +,Cash Out -,Balance
,Dual Carrency Card,Marketing,1260,1260,0
,Ad Cost,Ad Cost,3260,3260,0
,Buy Followers,Marketing,720,720,0
,Sample Product,Products,2450,2450,0
06/05/2026,,Deposit,500,,500
06/05/2026,,Products,,400,100
07/05/2026,,Deposit,1000,,1100
07/05/2026,,Products,,750,350
09/05/2026,,Deposit,2000,,2350
09/05/2026,,Products,,1890,460
10/05/2026,,Deposit,2000,,2460
10/05/2026,,Sales,1138,,3598
10/05/2026,,Ad Cost,,2000,1598
10/05/2026,,Products,,2570,-972
11/05/2026,,Sales,3384,,2412
11/05/2026,,Products,,,2412
12/05/2026,,Deposit,1500,,3912
12/05/2026,,Sales,441,,4353
12/05/2026,,Products,,3420,933
13/05/2026,,Sales,713,,1646
13/05/2026,,Products,,1910,-264
14/05/2026,,Deposit,,,-264
14/05/2026,,Sales,3614,,3350
14/05/2026,,Deposit,100,,3450
14/05/2026,,Ad Cost,,1900,1550
14/05/2026,,Products,,1330,220
14/05/2026,,Others,,220,0
15/05/2026,,Sales,1933,,1933
17/05/2026,,Sales,1067,,3000
18/05/2026,,Ad Cost,,650,2350
18/05/2026,,Products,,530,1820
19/05/2026,,Borrow,1700,,3520
19/05/2026,,Products,,3345,175
19/05/2026,,Sales,800,,975
20/05/2026,,Marketing,,130,845
20/05/2026,,Sales,,210,635
20/05/2026,,Borrow,500,,1135
20/05/2026,,Ad Cost,,500,635
20/05/2026,,Products,,820,-185
20/05/2026,,Others,,100,-285
20/05/2026,,Borrow,285,,0
20/05/2026,,Sales,1381,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
,,,,,1381
